name	expansion	wonds	fatigue	armor	speed	melee_trait	range_trait	magic_trait	fighting_skills	subterfuge_skills	wizardry_skills	conquest_value
Aurim	AOD	8	5	1	5	1	1	1	1	0	2	2
Corbin	AOD	8	5	2	3	2	1	0	1	2	0	4
Eliam	AOD	12	3	1	5	1	0	2	2	0	1	3
Kirga	AOD	16	3	1	4	0	3	0	0	3	0	3
Sahla	AOD	12	4	0	4	0	1	2	0	0	3	2
Tahlia	AOD	16	3	2	3	3	0	0	3	0	0	4
Andira Runehand	JITD	12	4	1	4	0	0	3	0	0	3	3
Battlemage Jaes	JITD	12	4	2	4	1	0	2	1	0	2	4
Bogran the Shadow	JITD	8	4	1	5	0	2	1	1	2	0	2
Grey Ker	JITD	12	5	1	4	0	3	0	0	2	1	3
Ispher	JITD	12	4	0	5	1	2	0	1	2	0	3
Landrec the Wise	JITD	12	5	0	3	0	0	3	0	1	2	2
Lyssa	JITD	8	5	1	5	1	1	1	2	1	0	2
Mad Carthos	JITD	8	3	1	4	0	0	3	0	0	3	2
Mordrog	JITD	16	3	2	3	3	0	0	3	0	0	4
One Fist	JITD	12	3	2	4	2	1	0	1	2	0	4
Red Scorpion	JITD	12	4	1	4	1	1	1	1	1	1	3
Ronan of the Wild	JITD	12	4	1	5	1	2	0	1	2	0	3
Runewitch Astarra	JITD	12	5	0	5	0	0	3	0	0	3	2
Silhouette	JITD	12	5	1	5	0	3	0	0	3	0	3
Sir Valadir	JITD	16	3	1	4	2	0	1	1	1	1	3
Spiritspeaker Mok	JITD	12	4	0	4	1	0	2	1	0	2	2
Steelhorns	JITD	16	3	1	4	3	0	0	3	0	0	3
Trenloe the Strong	JITD	16	3	2	3	2	1	0	3	0	0	4
Varikas the Dead	JITD	16	4	2	3	2	0	1	2	0	1	4
Vyrah the Falconer	JITD	12	4	1	4	0	2	1	1	2	0	3
Brother Gherinn ***	promo	12	3	2	3	0	0	3	1	0	2	3
Challara ***	promo	12	5	0	4	0	0	3	0	0	3	3
Hugo the Glorious ***	promo	20	3	2	3	3	0	0	3	0	0	4
Jonas the Kind *	promo	16	4	0	5	2	0	1	2	0	1	3
Krutzbeck ***	promo	8	4	2	4	3	0	0	3	0	0	2
Lindel ***	promo	16	5	1	5	2	2	2	1	1	1	5
Tatianna ***	promo	12	4	1	5	0	3	0	0	3	0	3
Tobin Farslayer *	promo	16	3	2	3	0	3	0	0	3	0	4
Truthseer Kel *	promo	12	4	1	4	0	0	3	0	0	3	3
Nara the Fang **	SOB (promo)	12	4	2	4	3	0	0	2	1	0	4
Arvel Worldwalker	TOI	12	4	1	4	1	1	0	2	2	0	3
Karnon	TOI	16	4	1	4	5	0	0	2	0	0	4
Laughin Buldar	TOI	16	3	1	4	3	0	0	3	0	0	4
Okaluk and Rakash	TOI	16	2	0	6	2	1	0	2	1	0	3
Shiver	TOI	12	4	0	4	0	0	3	0	0	3	3
Zyla	TOI	8	5	0	4	1	1	1	1	1	1	1
Brother Glyr	WOD	8	5	3	2	2	1	0	2	1	0	4
Laurel of Bloodwood	WOD	8	4	1	5	1	2	0	1	2	0	3
Lord Hawthorne	WOD	16	4	1	4	3	0	0	3	0	0	4
Nanok of the Blade	WOD	16	4	*	4	2	0	1	2	1	0	4
Runemaster Thorn	WOD	12	4	0	5	0	0	3	0	0	3	2
Tetherys	WOD	12	4	1	4	0	2	1	0	3	0	3
